                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4428,                 2.9572,                 1.1286,                0.89287,                0.29394,                0.86306,                0.61272,                0.91563,                 2.2544,                0.93894,             0.00025374,             0.00025374,             0.00025374
                      2,                0.89667,                 1.0479,                  0.906,                0.98705,                0.98282,                0.99207,                0.78244,                0.82767,                0.73348,                 0.8692,             0.00048988,             0.00048988,             0.00048988
                      3,                0.81101,                0.83834,                0.87845,                0.99224,                0.99512,                0.99342,                0.79382,                0.73556,                0.62197,                0.83106,             0.00070571,             0.00070571,             0.00070571
                      4,                0.78788,                 0.7614,                0.87085,                 0.9935,                0.99642,                0.99388,                0.81846,                0.68638,                 0.5508,                0.82814,             0.00067764,             0.00067764,             0.00067764
                      5,                0.74795,                0.70193,                0.86653,                0.99612,                0.99762,                0.99394,                0.84322,                0.62511,                0.48727,                0.81744,             0.00064719,             0.00064719,             0.00064719
                      6,                0.71065,                0.65696,                0.85778,                0.99763,                0.99221,                0.99362,                0.85218,                0.61015,                0.46869,                0.81564,             0.00061674,             0.00061674,             0.00061674
                      7,                0.66913,                0.61562,                0.84989,                0.99726,                0.99571,                0.99388,                0.85928,                0.59386,                0.45849,                 0.8077,             0.00058629,             0.00058629,             0.00058629
                      8,                0.64751,                0.58273,                0.84755,                0.99677,                0.99669,                0.99397,                0.87079,                0.56029,                 0.4457,                0.80715,             0.00055583,             0.00055583,             0.00055583
                      9,                0.64473,                0.56363,                0.84628,                0.99815,                 0.9979,                0.99393,                0.82534,                0.70443,                0.46652,                0.80789,             0.00052538,             0.00052538,             0.00052538
                     10,                0.63318,                0.53898,                0.84464,                0.99842,                0.99596,                0.99391,                0.87897,                0.51607,                0.41183,                0.80117,             0.00049493,             0.00049493,             0.00049493
                     11,                0.60969,                0.52555,                0.84188,                 0.9964,                  0.997,                0.99491,                0.85366,                0.59797,                0.42978,                0.80702,             0.00046448,             0.00046448,             0.00046448
                     12,                0.58865,                0.50268,                0.83642,                0.99757,                0.99647,                0.99496,                0.87631,                 0.5221,                0.39626,                0.79675,             0.00043402,             0.00043402,             0.00043402
                     13,                0.57297,                0.48291,                 0.8331,                0.99533,                0.99938,                0.99456,                0.88082,                0.51595,                0.38911,                0.79492,             0.00040357,             0.00040357,             0.00040357
                     14,                0.57635,                0.47553,                0.83248,                0.99813,                0.99713,                0.99391,                0.88057,                0.53592,                0.38457,                0.80289,             0.00037312,             0.00037312,             0.00037312
                     15,                0.57366,                0.46496,                0.83618,                0.99758,                0.99743,                0.99397,                0.88936,                0.52093,                0.36427,                0.79881,             0.00034267,             0.00034267,             0.00034267
                     16,                0.57593,                0.48357,                0.82298,                0.99742,                0.99762,                  0.994,                0.88264,                0.51681,                0.38382,                0.79734,             0.00031221,             0.00031221,             0.00031221
                     17,                0.54587,                0.45575,                0.81231,                0.99874,                0.99726,                0.99396,                0.88729,                0.49009,                0.36804,                0.79312,             0.00028176,             0.00028176,             0.00028176
                     18,                0.54702,                0.44336,                0.81565,                0.99788,                0.99676,                0.99393,                 0.8725,                0.52029,                0.38586,                0.80074,             0.00025131,             0.00025131,             0.00025131
                     19,                0.51766,                 0.4229,                0.80969,                0.99814,                0.99752,                0.99497,                0.90133,                0.45835,                0.34612,                0.79024,             0.00022086,             0.00022086,             0.00022086
                     20,                 0.5078,                0.40987,                0.80756,                0.99826,                0.99784,                 0.9941,                 0.8995,                0.45948,                0.33983,                0.78742,              0.0001904,              0.0001904,              0.0001904
                     21,                0.49678,                0.39892,                0.80468,                  0.998,                0.99766,                0.99494,                0.88707,                0.49674,                0.34863,                0.78872,             0.00015995,             0.00015995,             0.00015995
                     22,                0.49079,                0.38999,                0.80812,                0.99862,                0.99786,                0.99497,                0.90019,                0.46608,                0.32704,                0.78651,              0.0001295,              0.0001295,              0.0001295
                     23,                 0.4818,                0.38004,                0.80354,                0.99863,                0.99768,                0.99499,                0.91172,                0.43344,                0.31453,                0.78447,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     24,                0.46766,                0.37038,                0.79921,                0.99897,                0.99771,                0.99498,                0.91408,                0.43465,                0.30998,                 0.7834,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     25,                 0.4594,                0.36329,                0.79833,                0.99875,                0.99743,                0.99419,                0.90877,                0.44578,                0.31178,                0.78363,             3.8142e-05,             3.8142e-05,             3.8142e-05
